0;Labels
Dennis R. Heldman;['Category:1938 births', 'Category:American food engineers', 'Category:American food scientists', 'Category:Articles with hCards', 'Category:Engineers from New Jersey', 'Category:Engineers from Ohio', 'Category:Fellows of the Institute of Food Technologists', 'Category:Living people', 'Category:Michigan State University alumni', 'Category:Michigan State University faculty', 'Category:Ohio State University alumni', 'Category:Ohio State University faculty', 'Category:People from Camden, New Jersey', 'Category:People from Columbia, Missouri', 'Category:People from Lansing, Michigan', 'Category:People from Warren County, Ohio', 'Category:People from Weston, Florida', 'Category:Rutgers University faculty', 'Category:University of Missouri faculty', 'Category:Webarchive template wayback links', 'Category:Wikipedia articles with BNF identifiers', 'Category:Wikipedia articles with ISNI identifiers', 'Category:Wikipedia articles with LCCN identifiers', 'Category:Wikipedia articles with NKC identifiers', 'Category:Wikipedia articles with SUDOC identifiers', 'Category:Wikipedia articles with VIAF identifiers', 'Category:Wikipedia articles with WorldCat-VIAF identifiers']
Denny's;['Category:All articles with dead external links', 'Category:All articles with unsourced statements', 'Category:All articles with vague or ambiguous time', 'Category:Articles with dead external links from August 2016', 'Category:Articles with unsourced statements from August 2016', 'Category:Articles with unsourced statements from December 2015', 'Category:Companies based in South Carolina', 'Category:Companies based in Spartanburg, South Carolina', 'Category:Companies listed on NASDAQ', 'Category:Fast-food chains of the United States', 'Category:Official website different in Wikidata and Wikipedia', 'Category:Pancake houses', 'Category:Restaurant chains in the United States', 'Category:Restaurants established in 1953', 'Category:Use mdy dates from March 2019', 'Category:Vague or ambiguous time from January 2016', 'Category:Wikipedia articles with LCCN identifiers', 'Category:Wikipedia articles with VIAF identifiers', 'Category:Wikipedia articles with WorldCat-VIAF identifiers']
Denofa;['Category:1912 establishments in Norway', 'Category:CS1 Norwegian-language sources (no)', 'Category:CS1: Julian–Gregorian uncertainty', 'Category:Chemical companies established in 1912', 'Category:Companies based in Fredrikstad', 'Category:Manufacturing companies of Norway', 'Category:Orkla Group']
Dental health diets for cats;['Category:CS1: long volume value', 'Category:Cat health']
Derald Langham;['Category:1913 births', 'Category:1991 deaths', 'Category:American geneticists', 'Category:Articles with hCards', 'Category:Cornell University College of Agriculture and Life Sciences alumni', 'Category:Iowa State University alumni', 'Category:People from Fallbrook, California', 'Category:United States International University alumni', 'Category:Wikipedia articles with ISNI identifiers', 'Category:Wikipedia articles with LCCN identifiers', 'Category:Wikipedia articles with VIAF identifiers', 'Category:Wikipedia articles with WorldCat-VIAF identifiers']
Desi daru;['Category:Articles containing Hindi-language text', 'Category:Articles with hProducts', 'Category:Articles with hRecipes', 'Category:Commons category link is on Wikidata', 'Category:Desi cuisine', 'Category:Desi culture', 'Category:Indian alcoholic drinks', 'Category:Indian distilled drinks', 'Category:Traditional Indian alcoholic beverages']
Dessert;['Category:All articles to be expanded', 'Category:All articles with unsourced statements', 'Category:Articles to be expanded from July 2015', 'Category:Articles using small message boxes', 'Category:Articles with incomplete citations from January 2019', 'Category:Articles with short description', 'Category:Articles with unsourced statements from July 2015', 'Category:Courses (meal)', 'Category:Desserts', 'Category:Pages using citations with accessdate and no URL', 'Category:Pages using multiple image with auto scaled images', 'Category:Pages with citations lacking titles', 'Category:Portal templates with all redlinked portals', 'Category:Use dmy dates from July 2015']
Dewar's;['Category:1846 establishments in Scotland', 'Category:All articles with unsourced statements', 'Category:Articles with hProducts', 'Category:Articles with hRecipes', 'Category:Articles with unsourced statements from July 2013', 'Category:Articles with unsourced statements from June 2017', 'Category:Bacardi', 'Category:Blended Scotch whisky', 'Category:Clan Dewar', 'Category:Distilleries in Scotland', 'Category:Food and drink companies established in 1846', 'Category:Products introduced in 1846', 'Category:Scottish brands']
DiGiorno;['Category:All articles with unsourced statements', 'Category:Articles with unsourced statements from January 2014', 'Category:Frozen pizza brands', 'Category:Nestlé brands', 'Category:Pages using Infobox brand with unknown parameters', 'Category:Products introduced in 1995']
Diacetyl;['Category:All articles with dead external links', 'Category:Articles containing unverified chemical infoboxes', 'Category:Articles with dead external links from August 2018', 'Category:Articles with dead external links from March 2018', 'Category:Articles with permanently dead external links', 'Category:CS1 maint: Multiple names: authors list', 'Category:Chembox having DSD data', 'Category:Chembox image size set', 'Category:Conjugated ketones', 'Category:Diketones', 'Category:ECHA InfoCard ID from Wikidata', 'Category:Flavors', 'Category:Occupational safety and health', 'Category:Popcorn', 'Category:Webarchive template wayback links', 'Category:Wikipedia articles with GND identifiers']
Diageo;['Category:CS1 maint: Archived copy as title', 'Category:Commons category link from Wikidata', 'Category:Companies established in 1997', 'Category:Companies formed by merger', 'Category:Companies listed on the London Stock Exchange', 'Category:Companies listed on the New York Stock Exchange', 'Category:Diageo', 'Category:Drink companies of the United Kingdom', 'Category:Food manufacturers based in London', 'Category:Multinational companies headquartered in the United Kingdom', 'Category:Multinational food companies', 'Category:Use British English from January 2013', 'Category:Use dmy dates from January 2013', 'Category:Webarchive template wayback links', 'Category:Wikipedia articles with ISNI identifiers', 'Category:Wikipedia articles with SUDOC identifiers', 'Category:Wikipedia articles with VIAF identifiers', 'Category:Wikipedia articles with WorldCat-VIAF identifiers']
Diamond Mountain District AVA;['Category:2001 establishments in California', 'Category:All articles needing coordinates', 'Category:American Viticultural Areas', 'Category:American Viticultural Areas of the San Francisco Bay Area', 'Category:Geography of Napa County, California', 'Category:Napa County, California articles missing geocoordinate data', 'Category:Pages with citations having bare URLs', 'Category:Pages with citations lacking titles', 'Category:Webarchive template wayback links']
Diana Astry;['Category:1716 deaths', 'Category:18th-century British women writers', 'Category:18th-century English writers', 'Category:Burials in Bedfordshire', 'Category:English diarists', 'Category:English food writers', 'Category:English women non-fiction writers', 'Category:People from Bristol', 'Category:Use British English from October 2016', 'Category:Use dmy dates from October 2016', 'Category:Wikipedia articles incorporating a citation from the ODNB', 'Category:Women cookbook writers', 'Category:Women diarists']
Dickey's Barbecue Pit;['Category:1941 establishments in Texas', 'Category:American companies established in 1941', 'Category:Barbecue restaurants', 'Category:Restaurant chains in the United States', 'Category:Restaurants established in 1941']
Diet Coke;['Category:All articles containing potentially dated statements', 'Category:All articles needing additional references', 'Category:All articles with unsourced statements', 'Category:Articles containing potentially dated statements from 2007', 'Category:Articles needing additional references from July 2018', 'Category:Articles with hProducts', 'Category:Articles with hRecipes', 'Category:Articles with unsourced statements from July 2018', 'Category:Articles with unsourced statements from May 2018', 'Category:CS1 maint: Archived copy as title', 'Category:Coca-Cola brands', 'Category:Cola brands', 'Category:Commons category link is on Wikidata', 'Category:Diet drinks', 'Category:Official website different in Wikidata and Wikipedia', 'Category:Pages using deprecated image syntax', 'Category:Products introduced in 1982', 'Category:Use mdy dates from March 2015', 'Category:Webarchive template wayback links']
Diet Coke and Mentos eruption;['Category:Chemistry classroom experiments', 'Category:Coca-Cola in popular culture', 'Category:Commons category link from Wikidata', 'Category:Internet memes', 'Category:Pages with login required references or sources', 'Category:Science demonstrations', 'Category:Viral videos', 'Category:YouTube videos']
Diet Pepsi;['Category:Articles with hProducts', 'Category:Articles with hRecipes', 'Category:Cola brands', 'Category:Commons category link from Wikidata', 'Category:Diet drinks', 'Category:Official website different in Wikidata and Wikipedia', 'Category:Pages using deprecated image syntax', 'Category:PepsiCo brands', 'Category:PepsiCo soft drinks', 'Category:Products introduced in 1964', 'Category:Use mdy dates from July 2014']
Diet drink;['Category:All articles needing additional references', 'Category:All articles with specifically marked weasel-worded phrases', 'Category:All articles with unsourced statements', 'Category:Articles needing additional references from August 2007', 'Category:Articles needing additional references from August 2011', 'Category:Articles with limited geographic scope from December 2010', 'Category:Articles with specifically marked weasel-worded phrases from December 2013', 'Category:Articles with unsourced statements from April 2011', 'Category:Articles with unsourced statements from May 2015', 'Category:Convenience foods', 'Category:Diet drinks', 'Category:Products introduced in 1952', 'Category:Use dmy dates from May 2018']
Dietary fiber;['Category:All articles with unsourced statements', 'Category:Articles with short description', 'Category:Articles with unsourced statements from February 2019', 'Category:CS1: long volume value', 'Category:Dietary supplements', 'Category:Nutrition', 'Category:Use dmy dates from June 2015', 'Category:Webarchive template wayback links', 'Category:Wikipedia articles with GND identifiers', 'Category:Wikipedia articles with LCCN identifiers', 'Category:Wikipedia articles with NDL identifiers']
Dill;"['Category:All articles with unsourced statements', 'Category:Arab cuisine', 'Category:Articles containing Chinese-language text', 'Category:Articles containing Lao-language text', 'Category:Articles containing Russian-language text', 'Category:Articles containing Thai-language text', ""Category:Articles with 'species' microformats"", 'Category:Articles with short description', 'Category:Articles with unsourced statements from June 2010', 'Category:Articles with unsourced statements from May 2018', 'Category:Edible Apiaceae', 'Category:Flora of Asia', 'Category:Flora of Europe', 'Category:Herbs', 'Category:Iranian cuisine', 'Category:Iraqi cuisine', 'Category:Medicinal plants', 'Category:Monoamine oxidase inhibitors', 'Category:Plants described in 1753', 'Category:Plants used in Ayurveda', 'Category:Spices', 'Category:Taxonbars with 30–34 taxon IDs', 'Category:Use dmy dates from January 2011']"
Dim sum;['Category:All articles needing additional references', 'Category:Articles containing Chinese-language text', 'Category:Articles containing simplified Chinese-language text', 'Category:Articles containing traditional Chinese-language text', 'Category:Articles needing additional references from March 2019', 'Category:Articles needing additional references from November 2016', 'Category:Articles with hAudio microformats', 'Category:Breakfasts', 'Category:Cantonese cuisine', 'Category:Cantonese words and phrases', 'Category:Commons category link is on Wikidata', 'Category:Cuisine of the San Francisco Bay Area', 'Category:Cuisine of the Western United States', 'Category:Dim sum', 'Category:Dumplings', 'Category:Fast food', 'Category:Hong Kong cuisine', 'Category:National dishes', 'Category:Serving and dining', 'Category:Singaporean cuisine', 'Category:Spoken articles', 'Category:Street food', 'Category:Taiwanese cuisine', 'Category:Tea culture', 'Category:Yum cha']
Diner;['Category:All articles lacking in-text citations', 'Category:All articles needing additional references', 'Category:All articles that may contain original research', 'Category:All articles with unsourced statements', 'Category:American culture', 'Category:Architectural styles', 'Category:Articles lacking in-text citations from April 2017', 'Category:Articles needing additional references from November 2017', 'Category:Articles that may contain original research from November 2017', 'Category:Articles with unsourced statements from November 2017', 'Category:Canadian culture', 'Category:Commons category link is on Wikidata', 'Category:Diners', 'Category:Fast food', 'Category:Nightlife', 'Category:Northeastern United States', 'Category:Restaurants by type']
Diners of Allentown, Pennsylvania;['Category:Articles which use infobox templates with no data rows', 'Category:Articles with Geo', 'Category:Buildings and structures in Allentown, Pennsylvania', 'Category:Cuisine of the Mid-Atlantic states', 'Category:Diners', 'Category:Geographic coordinate lists', 'Category:History of Allentown, Pennsylvania', 'Category:Lists of coordinates', 'Category:Restaurants in Pennsylvania', 'Category:Tourist attractions in Allentown, Pennsylvania']
Dining car;['Category:All articles lacking in-text citations', 'Category:All articles with unsourced statements', 'Category:Articles lacking in-text citations from April 2012', 'Category:Articles with limited geographic scope from December 2010', 'Category:Articles with unsourced statements from September 2017', 'Category:CS1 maint: Multiple names: authors list', 'Category:CS1: Julian–Gregorian uncertainty', 'Category:Commons category link is on Wikidata', 'Category:Passenger coaches', 'Category:Restaurants by type', 'Category:Wikipedia articles with GND identifiers']
Dinuguan;['Category:Blood dishes', 'Category:CS1 French-language sources (fr)', 'Category:Pages using deprecated image syntax', 'Category:Philippine stews', 'Category:Pork dishes']
Dionysus;['Category:Agricultural gods', 'Category:All articles needing rewrite', 'Category:All articles with unsourced statements', 'Category:Articles containing Ancient Greek-language text', 'Category:Articles containing Greek-language text', 'Category:Articles containing Mycenaean Greek-language text', 'Category:Articles having different image on Wikidata and Wikipedia', 'Category:Articles with short description', 'Category:Articles with unsourced statements from April 2008', 'Category:Articles with unsourced statements from August 2017', 'Category:Articles with unsourced statements from February 2017', 'Category:Articles with unsourced statements from January 2019', 'Category:Articles with unsourced statements from November 2015', 'Category:Chthonic beings', 'Category:Commons category link is on Wikidata', 'Category:Dacian gods', 'Category:Deities of wine and beer', 'Category:Dionysus', 'Category:Fertility gods', 'Category:History of wine', 'Category:Homosexuality and bisexuality deities', 'Category:LGBT themes in Greek mythology', 'Category:Life-death-rebirth gods', 'Category:Mythology of Heracles', 'Category:Pages using citations with accessdate and no URL', 'Category:Pederastic heroes and deities', 'Category:Webarchive template wayback links', 'Category:Wikipedia articles needing rewrite from February 2018', 'Category:Wikipedia articles with GND identifiers', 'Category:Wikipedia articles with LCCN identifiers', 'Category:Wikipedia articles with VIAF identifiers', 'Category:Wikipedia articles with WorldCat-VIAF identifiers']
Dioscorea elephantipes;"['Category:All stub articles', ""Category:Articles with 'species' microformats"", 'Category:Caudiciform plants', 'Category:Dioscorea', 'Category:Flora of South Africa', 'Category:Monocot stubs', 'Category:Root vegetables', 'Category:Taxonbars with automatically added basionyms', 'Category:Wikipedia articles incorporating a citation from the 1911 Encyclopaedia Britannica with Wikisource reference', 'Category:Wikipedia articles incorporating text from the 1911 Encyclopædia Britannica']"
Dipsomania;['Category:1819 introductions', 'Category:Alcohol abuse', 'Category:Alcohol and health', 'Category:Articles containing Greek-language text', 'Category:Mania', 'Category:Obsolete medical terms', 'Category:Substance-related disorders', 'Category:Words coined in the 1810s']
Dishwashing;['Category:All articles needing additional references', 'Category:Articles containing video clips', 'Category:Articles needing additional references from December 2014', 'Category:Commons category link is on Wikidata', 'Category:Dishwashing', 'Category:Hygiene']
Dixie Chicken (bar);['Category:All articles with dead external links', 'Category:Articles with dead external links from September 2017', 'Category:Articles with permanently dead external links', 'Category:College Station, Texas', 'Category:Coordinates on Wikidata', 'Category:Drinking establishments in Texas']
Dog and Duck, St George's Fields;['Category:Buildings and structures demolished in 1812', 'Category:CS1: Julian–Gregorian uncertainty', 'Category:Commercial buildings completed in the 17th century', 'Category:Coordinates on Wikidata', 'Category:Demolished buildings and structures in London', 'Category:Former pubs', 'Category:History of the London Borough of Southwark', 'Category:Infobox mapframe without OSM relation ID on Wikidata', 'Category:Pages using the Kartographer extension', 'Category:Pubs in the London Borough of Southwark', 'Category:Spas', 'Category:Use British English from July 2013', 'Category:Use dmy dates from July 2013', 'Category:Webarchive template wayback links']
Dole Food Company;['Category:1851 establishments in Hawaii', 'Category:2013 mergers and acquisitions', 'Category:Agriculture companies of the United States', 'Category:American companies established in 1851', 'Category:Banana production', 'Category:Business in Hawaii', 'Category:CS1 Swedish-language sources (sv)', 'Category:Commons category link from Wikidata', 'Category:Companies based in Hawaii', 'Category:Companies based in Westlake Village, California', 'Category:Companies formerly listed on the New York Stock Exchange', 'Category:Dole Food Company', 'Category:Dole family', 'Category:Food and drink companies established in 1851', 'Category:Food manufacturers of the United States', 'Category:Fruit production', 'Category:Multinational companies headquartered in the United States', 'Category:Multinational food companies', 'Category:Official website different in Wikidata and Wikipedia', 'Category:Pineapple production', 'Category:Webarchive template wayback links', 'Category:Westlake Village, California', 'Category:Wikipedia articles with ISNI identifiers', 'Category:Wikipedia articles with LCCN identifiers', 'Category:Wikipedia articles with SUDOC identifiers', 'Category:Wikipedia articles with VIAF identifiers', 'Category:Wikipedia articles with WorldCat-VIAF identifiers']
Dolester Miles;['Category:1957 births', 'Category:African-American chefs', 'Category:American chefs', 'Category:Articles with hCards', 'Category:Living people', 'Category:Pastry chefs', 'Category:People from Bessemer, Alabama', 'Category:People from Victoria, Texas']
Dolma;['Category:All articles with unsourced statements', 'Category:Arab cuisine', 'Category:Armenian cuisine', 'Category:Articles containing Ottoman Turkish-language text', 'Category:Articles with short description', 'Category:Articles with unsourced statements from April 2018', 'Category:Articles with unsourced statements from June 2018', 'Category:Assyrian cuisine', 'Category:Azerbaijani cuisine', 'Category:Balkan cuisine', 'Category:Bosnia and Herzegovina cuisine', 'Category:CS1 French-language sources (fr)', 'Category:CS1 Italian-language sources (it)', 'Category:Commons category link from Wikidata', 'Category:Culinary dishes', 'Category:Greek cuisine', 'Category:Herzegovina', 'Category:Iranian cuisine', 'Category:Iraqi cuisine', 'Category:Israeli cuisine', 'Category:Kurdish cuisine', 'Category:Levantine cuisine', 'Category:Mediterranean cuisine', 'Category:Middle Eastern cuisine', 'Category:Mostar', 'Category:National dishes', 'Category:Onion-based foods', 'Category:Ottoman cuisine', 'Category:Pages using deprecated image syntax', 'Category:Palestinian cuisine', 'Category:Stuffed vegetable dishes', 'Category:Turkish cuisine', 'Category:Turkish cuisine dolmas and sarmas', 'Category:Turkish words and phrases', 'Category:Webarchive template wayback links']
Dom DeLuise;['Category:1933 births', 'Category:2009 deaths', 'Category:20th-century American comedians', 'Category:20th-century American male actors', 'Category:21st-century American comedians', 'Category:21st-century American male actors', 'Category:American Roman Catholics', 'Category:American cookbook writers', 'Category:American male comedians', 'Category:American male film actors', 'Category:American male non-fiction writers', 'Category:American male television actors', 'Category:American male voice actors', 'Category:American people of Italian descent', 'Category:Articles with IBDb links', 'Category:Articles with hCards', 'Category:Articles with short description', 'Category:CS1 maint: Archived copy as title', 'Category:Catholics from New York (state)', 'Category:Comedians from California', 'Category:Comedians from New York City', 'Category:DeLuise family', 'Category:Deaths from diabetes', 'Category:Disease-related deaths in California', 'Category:Internet Broadway Database person ID same as Wikidata', 'Category:Male actors from Los Angeles', 'Category:Male actors from New York City', 'Category:Male actors of Italian descent', 'Category:People from Brooklyn', 'Category:Tufts University alumni', 'Category:Turner Classic Movies person ID same as Wikidata', 'Category:Use mdy dates from June 2017', 'Category:Wikipedia articles with BNE identifiers', 'Category:Wikipedia articles with BNF identifiers', 'Category:Wikipedia articles with GND identifiers', 'Category:Wikipedia articles with ISNI identifiers', 'Category:Wikipedia articles with LCCN identifiers', 'Category:Wikipedia articles with MusicBrainz identifiers', 'Category:Wikipedia articles with NKC identifiers', 'Category:Wikipedia articles with SNAC-ID identifiers', 'Category:Wikipedia articles with SUDOC identifiers', 'Category:Wikipedia articles with VIAF identifiers', 'Category:Wikipedia articles with WorldCat-VIAF identifiers', 'Category:Wikipedia indefinitely move-protected pages']
Domestic pig;"['Category:All articles needing additional references', 'Category:All articles with dead external links', 'Category:All articles with unsourced statements', 'Category:Articles needing additional references from November 2014', ""Category:Articles with 'species' microformats"", 'Category:Articles with Portuguese-language external links', 'Category:Articles with dead external links from January 2018', 'Category:Articles with dead external links from September 2018', 'Category:Articles with permanently dead external links', 'Category:Articles with unsourced statements from January 2018', 'Category:CS1 Spanish-language sources (es)', 'Category:CS1 errors: external links', 'Category:CS1 maint: Multiple names: authors list', 'Category:Domestic pigs', 'Category:Domesticated animals', 'Category:Livestock', 'Category:Mammals as pets', 'Category:Mammals described in 1777', 'Category:Pork', 'Category:Subspecies', 'Category:Taxonbars on possible non-taxon pages', 'Category:Taxonbars using multiple manual Wikidata items', 'Category:Use dmy dates from June 2018', 'Category:Webarchive template wayback links', 'Category:Wikipedia articles needing page number citations from January 2018', 'Category:Wikipedia articles with GND identifiers', 'Category:Wikipedia articles with HDS identifiers', 'Category:Wikipedia articles with LCCN identifiers']"
Domestic turkey;"['Category:All articles with unsourced statements', 'Category:American cuisine', ""Category:Articles with 'species' microformats"", 'Category:Articles with unsourced statements from April 2011', 'Category:Articles with unsourced statements from November 2011', 'Category:Articles with unsourced statements from November 2015', 'Category:Articles with unsourced statements from September 2008', 'Category:Canadian cuisine', 'Category:Christmas food', 'Category:Commons category link is on Wikidata', 'Category:Cuisine of the Southern United States', 'Category:Domesticated animals', 'Category:Domesticated birds', 'Category:Meleagrididae', 'Category:Mesoamerican cuisine', 'Category:Native American cuisine of the Southeastern Woodlands', 'Category:Post-Columbian Native American cuisine', 'Category:Poultry', 'Category:Pre-Columbian Native American cuisine', 'Category:Pre-Columbian Southwest cuisine', 'Category:Thanksgiving food', 'Category:Use mdy dates from July 2013', 'Category:Vertebrate parthenogenesis', 'Category:Webarchive template wayback links']"
Domino's Pizza;"['Category:1960 establishments in Michigan', 'Category:2004 initial public offerings', 'Category:All articles containing potentially dated statements', 'Category:All articles with dead external links', 'Category:Articles containing potentially dated statements from 2006', 'Category:Articles containing traditional Chinese-language text', 'Category:Articles with dead external links from June 2018', 'Category:Articles with short description', 'Category:CS1 maint: Uses authors parameter', 'Category:Companies based in Ann Arbor, Michigan', 'Category:Companies based in Metro Detroit', 'Category:Companies listed on the New York Stock Exchange', ""Category:Domino's Pizza"", 'Category:Fast-food chains of the United States', 'Category:Fast-food franchises', 'Category:Pizza chains of Canada', 'Category:Pizza chains of South Korea', 'Category:Pizza chains of the United Kingdom', 'Category:Pizza chains of the United States', 'Category:Pizza franchises', 'Category:Restaurant chains in the United States', 'Category:Restaurants established in 1960', 'Category:Use mdy dates from January 2019', 'Category:Wikipedia articles with GND identifiers', 'Category:Wikipedia articles with LCCN identifiers', 'Category:Wikipedia articles with VIAF identifiers', 'Category:Wikipedia articles with WorldCat-VIAF identifiers']"
Don Alfredo (cocktail);['Category:Articles with hRecipes', 'Category:Cocktails with brandy', 'Category:Mixed drinks', 'Category:Peruvian alcoholic drinks', 'Category:Pisco', 'Category:Sour cocktails']
Doneness;['Category:Cooking', 'Category:Meat']
Doritos;['Category:All articles with dead external links', 'Category:Articles with dead external links from June 2016', 'Category:Brand name snack foods', 'Category:CS1 maint: Archived copy as title', 'Category:Frito-Lay brands', 'Category:Pages with URL errors', 'Category:Products introduced in 1966', 'Category:Use mdy dates from January 2016', 'Category:Webarchive template wayback links', 'Category:Wikipedia indefinitely semi-protected pages']
Doron Jensen;['Category:1958 births', 'Category:American restaurateurs', 'Category:Businesspeople from Iowa', 'Category:Businesspeople from Minneapolis', 'Category:CS1 maint: Archived copy as title', 'Category:Jensen family', 'Category:Living people', 'Category:People from Dubuque, Iowa', 'Category:University of Minnesota alumni', 'Category:Use mdy dates from May 2015']
Dortmunder Export;['Category:All articles with dead external links', 'Category:Articles with dead external links from May 2018', 'Category:Beer brands of Germany', 'Category:Dortmund', 'Category:German beer styles', 'Category:Westphalia culture']
Dosa;['Category:All Wikipedia articles written in Indian English', 'Category:All articles with unsourced statements', 'Category:Andhra cuisine', 'Category:Articles containing Kannada-language text', 'Category:Articles containing Malayalam-language text', 'Category:Articles containing Tamil-language text', 'Category:Articles containing Telugu-language text', 'Category:Articles containing video clips', 'Category:Articles with unsourced statements from August 2018', 'Category:Burmese cuisine', 'Category:Commons category link is on Wikidata', 'Category:Culinary dishes', 'Category:Dosa', 'Category:Fermented foods', 'Category:Indian breads', 'Category:Indian fast food', 'Category:Karnataka cuisine', 'Category:Kerala cuisine', 'Category:Malaysian breads', 'Category:Malaysian cuisine', 'Category:Mangalorean cuisine', 'Category:Pancakes', 'Category:Singaporean cuisine', 'Category:South Indian cuisine', 'Category:Sri Lankan pancakes', 'Category:Tamil cuisine', 'Category:Telangana cuisine', 'Category:Use Indian English from February 2019', 'Category:Use dmy dates from February 2019', 'Category:Vegetarian dishes of India']
Dough;['Category:All articles with unsourced statements', 'Category:Articles with hAudio microformats', 'Category:Articles with unsourced statements from February 2014', 'Category:Commons category link from Wikidata', 'Category:Doughs']
Doughnut;['Category:All articles that may contain original research', 'Category:All articles with dead external links', 'Category:All articles with unsourced statements', 'Category:American cuisine', 'Category:American desserts', 'Category:Articles containing Russian-language text', 'Category:Articles containing Ukrainian-language text', 'Category:Articles containing video clips', 'Category:Articles that may contain original research from June 2016', 'Category:Articles that may contain original research from November 2014', 'Category:Articles with Russian-language external links', 'Category:Articles with dead external links from January 2017', 'Category:Articles with short description', 'Category:Articles with specifically marked weasel-worded phrases from April 2018', 'Category:Articles with unsourced statements from April 2018', 'Category:Articles with unsourced statements from August 2010', 'Category:Articles with unsourced statements from December 2010', 'Category:Articles with unsourced statements from December 2013', 'Category:Articles with unsourced statements from June 2007', 'Category:Articles with unsourced statements from October 2017', 'Category:CS1 errors: dates', 'Category:Canadian cuisine', 'Category:Convenience foods', 'Category:Culinary dishes', 'Category:Deep fried foods', 'Category:Doughnuts', 'Category:Portal templates with redlinked portals', 'Category:Snack foods', 'Category:Types of food', 'Category:Webarchive template wayback links', 'Category:Wikipedia articles needing clarification from April 2018', 'Category:Wikipedia pages semi-protected against vandalism', 'Category:World cuisine']
Dr Pepper;['Category:All articles with dead external links', 'Category:All articles with unsourced statements', 'Category:Articles with dead external links from February 2018', 'Category:Articles with hProducts', 'Category:Articles with hRecipes', 'Category:Articles with permanently dead external links', 'Category:Articles with unsourced statements from April 2018', 'Category:Articles with unsourced statements from October 2017', 'Category:Caffeinated drinks', 'Category:Carbonated drinks', 'Category:Commons category link is on Wikidata', 'Category:Commons category link is on Wikidata using P373', 'Category:Companies established in 1885', 'Category:Dr Pepper-flavored sodas', 'Category:History of Waco, Texas', 'Category:Keurig Dr Pepper brands', 'Category:Pages using deprecated image syntax', 'Category:Patent medicines', 'Category:Products introduced in 1885', 'Category:Soft drinks', 'Category:Use mdy dates from December 2017', 'Category:Webarchive template wayback links', 'Category:Wikipedia indefinitely semi-protected pages']
Drambuie;['Category:Articles with hProducts', 'Category:Articles with hRecipes', 'Category:Bacardi', 'Category:Clan Mackinnon', 'Category:Herbal liqueurs', 'Category:Honey liqueurs and spirits', 'Category:Pages using deprecated image syntax', 'Category:Pages with missing ISBNs', 'Category:Products introduced in 1893', 'Category:Scottish brands', 'Category:Scottish liqueurs', 'Category:Scottish malt whisky', 'Category:Use British English from August 2010', 'Category:Use dmy dates from July 2013', 'Category:Webarchive template wayback links', 'Category:West Lothian']
Drewrys;['Category:American beer brands', 'Category:CS1 maint: Archived copy as title', 'Category:Canadian beer brands', 'Category:Pabst Brewing Company']
Dried apricot;['Category:Apricot', 'Category:CS1 Russian-language sources (ru)', 'Category:CS1 maint: Multiple names: authors list', 'Category:Commons category link is on Wikidata', 'Category:Dried fruit', 'Category:Kyrgyz cuisine']
Drink;['Category:All articles containing potentially dated statements', 'Category:All articles needing additional references', 'Category:Articles containing potentially dated statements from 2006', 'Category:Articles needing additional references from April 2019', 'Category:Articles with short description', 'Category:CS1: Julian–Gregorian uncertainty', 'Category:Drinks', 'Category:Food and drink', 'Category:Webarchive template wayback links', 'Category:Wikipedia articles with BNF identifiers', 'Category:Wikipedia articles with GND identifiers', 'Category:Wikipedia articles with LCCN identifiers', 'Category:Wikipedia articles with NARA identifiers', 'Category:Wikipedia articles with NDL identifiers', 'Category:Wikipedia indefinitely move-protected pages']
Drink can;['Category:All accuracy disputes', 'Category:All articles with unsourced statements', 'Category:Articles with disputed statements from October 2017', 'Category:Articles with unsourced statements from February 2017', 'Category:Articles with unsourced statements from May 2019', 'Category:Beer vessels and serving', 'Category:Commons category link is on Wikidata', 'Category:Food packaging', 'Category:Liquid containers', 'Category:Packaging', 'Category:Wikipedia articles with GND identifiers']
Drinking;['Category:Body water', 'Category:Commons category link is on Wikidata', 'Category:Drinking culture', 'Category:Ethology', 'Category:Physiology']
Drinking culture;['Category:All accuracy disputes', 'Category:All articles needing additional references', 'Category:All articles with unsourced statements', 'Category:Articles needing additional references from June 2018', 'Category:Articles needing additional references from March 2013', 'Category:Articles with disputed statements from June 2011', 'Category:Articles with unsourced statements from August 2017', 'Category:Articles with unsourced statements from March 2015', 'Category:Articles with unsourced statements from May 2010', 'Category:Articles with unsourced statements from October 2010', 'Category:CS1 errors: dates', 'Category:Drinking culture', 'Category:Pages with citations having bare URLs', 'Category:Pages with citations lacking titles']
Drinking straw;['Category:All articles lacking reliable references', 'Category:All articles with unsourced statements', 'Category:Articles lacking reliable references from June 2016', 'Category:Articles lacking reliable references from October 2018', 'Category:Articles with unsourced statements from June 2013', 'Category:Cocktail garnishes', 'Category:Commons category link from Wikidata', 'Category:Eating utensils', 'Category:Plastics applications', 'Category:Products introduced in 1888', 'Category:Use mdy dates from June 2018', 'Category:Webarchive template wayback links']
Droste;['Category:Brand name chocolate', 'Category:Companies based in Gelderland', 'Category:Companies established in 1863']
Drupe;['Category:All articles needing additional references', 'Category:Articles needing additional references from November 2011', 'Category:Drupes', 'Category:Edible nuts and seeds', 'Category:Fruit morphology', 'Category:Webarchive template wayback links', 'Category:Wikipedia articles incorporating a citation from the New International Encyclopedia']
